date,agency_name,value,source
2020-01-01,Bay Area Rapid Transit,9925918,NTD
2020-02-01,San Francisco Municipal Railway,11829417,NTD
2020-02-01,Bay Area Rapid Transit,9527569,NTD
2020-03-01,Bay Area Rapid Transit,4308934,NTD
2020-03-01,San Francisco Municipal Railway,13053890,NTD
2020-04-01,San Francisco Municipal Railway,2555000,sfmta.com
2020-04-01,Bay Area Rapid Transit,656653,NTD
2020-05-01,Bay Area Rapid Transit,771234,NTD
2020-05-01,San Francisco Municipal Railway,2958000,sfmta.com
2020-06-01,Bay Area Rapid Transit,1095623,NTD
2020-06-01,San Francisco Municipal Railway,3634000,sfmta.com
2020-07-01,Bay Area Rapid Transit,1270292,NTD
2020-07-01,San Francisco Municipal Railway,4048000,sfmta.com
2020-08-01,Bay Area Rapid Transit,1241828,NTD
2020-08-01,San Francisco Municipal Railway,4062000,sfmta.com
2020-09-01,Bay Area Rapid Transit,1291618,NTD
2020-09-01,San Francisco Municipal Railway,4243000,sfmta.com
2020-10-01,San Francisco Municipal Railway,4728000,sfmta.com
2020-10-01,Bay Area Rapid Transit,1487371,NTD
2020-11-01,Bay Area Rapid Transit,1331091,NTD
2020-11-01,San Francisco Municipal Railway,4604000,sfmta.com
2020-12-01,San Francisco Municipal Railway,4445000,sfmta.com
2020-12-01,Bay Area Rapid Transit,1216162,NTD
2021-01-01,San Francisco Municipal Railway,4281000,sfmta.com
2021-01-01,Bay Area Rapid Transit,1114032,NTD
2021-02-01,San Francisco Municipal Railway,4522000,sfmta.com
2021-02-01,Bay Area Rapid Transit,1185642,NTD
2021-03-01,Bay Area Rapid Transit,1482805,NTD
2021-03-01,San Francisco Municipal Railway,5348000,sfmta.com
2021-04-01,Bay Area Rapid Transit,1597612,NTD
2021-04-01,San Francisco Municipal Railway,5429000,sfmta.com
2021-05-01,Bay Area Rapid Transit,1779074,NTD
2021-05-01,San Francisco Municipal Railway,5977000,sfmta.com
2021-06-01,San Francisco Municipal Railway,6337000,sfmta.com
2021-06-01,Bay Area Rapid Transit,2127746,NTD
2021-07-01,San Francisco Municipal Railway,6908000,sfmta.com
2021-07-01,Bay Area Rapid Transit,2391835,NTD
2021-08-01,Bay Area Rapid Transit,2643220,NTD
2021-08-01,San Francisco Municipal Railway,7543000,sfmta.com
2021-09-01,San Francisco Municipal Railway,8128000,sfmta.com
2021-09-01,Bay Area Rapid Transit,2921077,NTD
2021-10-01,Bay Area Rapid Transit,3057821,NTD
2021-10-01,San Francisco Municipal Railway,8244000,sfmta.com
2021-11-01,Bay Area Rapid Transit,2971042,NTD
2021-11-01,San Francisco Municipal Railway,8094000,sfmta.com
2021-12-01,Bay Area Rapid Transit,2834892,NTD
2021-12-01,San Francisco Municipal Railway,7815000,sfmta.com
2022-01-01,Bay Area Rapid Transit,2328579,NTD
2022-01-01,San Francisco Municipal Railway,7391000,sfmta.com
2022-02-01,San Francisco Municipal Railway,7401000,sfmta.com
2022-02-01,Bay Area Rapid Transit,2689680,NTD
2022-03-01,San Francisco Municipal Railway,9065000,sfmta.com
2022-03-01,Bay Area Rapid Transit,3560435,NTD
2022-04-01,Bay Area Rapid Transit,3595725,NTD
2022-04-01,San Francisco Municipal Railway,9197000,sfmta.com
2022-05-01,San Francisco Municipal Railway,9651000,sfmta.com
2022-05-01,Bay Area Rapid Transit,3780985,NTD
2022-06-01,Bay Area Rapid Transit,3999328,NTD
2022-06-01,San Francisco Municipal Railway,9457000,sfmta.com
2022-07-01,Bay Area Rapid Transit,3672785,NTD
2022-07-01,San Francisco Municipal Railway,9609000,sfmta.com
